CÓDIGO;Semana;Acumulado;PERIODO
CACL;24;1;202390
CACL;25;20;202390
CACL;26;31;202390
CACL;27;43;202390
CACL;28;52;202390
CACL;29;59;202390
CACL;30;63;202390
CACL;31;75;202390
CACL;32;85;202390
CACL;33;92;202390
CACL;34;95;202390
CACL;35;98;202390
CACL;36;98;202390
CACL;37;102;202390
CACL;38;116;202390
CANP;26;3;202390
CANP;27;4;202390
CANP;28;4;202390
CANP;29;4;202390
CANP;30;4;202390
CANP;31;4;202390
CANP;32;4;202390
CANP;33;4;202390
CANP;34;4;202390
CANP;35;4;202390
CANP;36;4;202390
CANP;37;5;202390
CANP;38;5;202390
CBAL;25;26;202390
CBAL;26;28;202390
CBAL;27;28;202390
CBAL;28;29;202390
CBAL;29;29;202390
CBAL;30;29;202390
CBAL;31;29;202390
CBAL;32;29;202390
CBAL;33;29;202390
CBAL;34;29;202390
CBAL;35;29;202390
CBAL;36;29;202390
CBAL;37;29;202390
CBAL;38;29;202390
CBFE;37;1;202390
CBFE;38;1;202390
CBPE;24;1;202390
CBPE;25;2;202390
CBPE;26;4;202390
CBPE;27;7;202390
CBPE;28;8;202390
CBPE;29;8;202390
CBPE;30;8;202390
CBPE;31;8;202390
CBPE;32;8;202390
CBPE;33;8;202390
CBPE;34;8;202390
CBPE;35;8;202390
CBPE;36;8;202390
CBPE;37;8;202390
CBPE;38;8;202390
CCCG;38;1;202390
CCSO;24;4;202390
CCSO;25;20;202390
CCSO;26;20;202390
CCSO;27;20;202390
CCSO;28;20;202390
CCSO;29;20;202390
CCSO;30;20;202390
CCSO;31;20;202390
CCSO;32;20;202390
CCSO;33;20;202390
CCSO;34;20;202390
CCSO;35;20;202390
CCSO;36;20;202390
CCSO;37;20;202390
CCSO;38;20;202390
CDPC;29;2;202390
CDPC;30;2;202390
CDPC;31;2;202390
CDPC;32;2;202390
CDPC;33;2;202390
CDPC;34;2;202390
CDPC;35;2;202390
CDPC;36;2;202390
CDPC;37;2;202390
CDPC;38;2;202390
CEXS;26;1;202390
CEXS;27;1;202390
CEXS;28;1;202390
CEXS;29;1;202390
CEXS;30;1;202390
CEXS;31;1;202390
CEXS;32;2;202390
CEXS;33;2;202390
CEXS;34;2;202390
CEXS;35;2;202390
CEXS;36;2;202390
CEXS;37;2;202390
CEXS;38;4;202390
CFGP;38;4;202390
CGIE;26;1;202390
CGIE;27;1;202390
CGIE;28;1;202390
CGIE;29;1;202390
CGIE;30;1;202390
CGIE;31;1;202390
CGIE;32;1;202390
CGIE;33;1;202390
CGIE;34;1;202390
CGIE;35;1;202390
CGIE;36;1;202390
CGIE;37;1;202390
CGIE;38;1;202390
CHAI;38;1;202390
CLIE;29;1;202390
CLIE;30;7;202390
CLIE;31;7;202390
CLIE;32;7;202390
CLIE;33;7;202390
CLIE;34;8;202390
CLIE;35;9;202390
CLIE;36;10;202390
CLIE;37;10;202390
CLIE;38;12;202390
COGC;38;1;202390
CPAE;26;1;202390
CPAE;27;4;202390
CPAE;28;5;202390
CPAE;29;5;202390
CPAE;30;5;202390
CPAE;31;5;202390
CPAE;32;5;202390
CPAE;33;5;202390
CPAE;34;5;202390
CPAE;35;7;202390
CPAE;36;14;202390
CPAE;37;31;202390
CPAE;38;61;202390
CPAL;21;4;202390
CPAL;22;4;202390
CPAL;23;4;202390
CPAL;24;4;202390
CPAL;25;32;202390
CPAL;26;34;202390
CPAL;27;35;202390
CPAL;28;35;202390
CPAL;29;35;202390
CPAL;30;35;202390
CPAL;31;36;202390
CPAL;32;36;202390
CPAL;33;37;202390
CPAL;34;38;202390
CPAL;35;38;202390
CPAL;36;38;202390
CPAL;37;40;202390
CPAL;38;42;202390
CPOC;28;1;202390
CPOC;29;1;202390
CPOC;30;1;202390
CPOC;31;1;202390
CPOC;32;1;202390
CPOC;33;1;202390
CPOC;34;1;202390
CPOC;35;1;202390
CPOC;36;1;202390
CPOC;37;1;202390
CPOC;38;1;202390
CRCJ;28;1;202390
CRCJ;29;1;202390
CRCJ;30;1;202390
CRCJ;31;1;202390
CRCJ;32;1;202390
CRCJ;33;1;202390
CRCJ;34;1;202390
CRCJ;35;1;202390
CRCJ;36;1;202390
CRCJ;37;1;202390
CRCJ;38;1;202390
CRTK;38;1;202390
CTPT;28;2;202390
CTPT;29;2;202390
CTPT;30;6;202390
CTPT;31;14;202390
CTPT;32;15;202390
CTPT;33;18;202390
CTPT;34;19;202390
CTPT;35;24;202390
CTPT;36;26;202390
CTPT;37;28;202390
CTPT;38;30;202390
CTTM;27;3;202390
CTTM;28;6;202390
CTTM;29;7;202390
CTTM;30;11;202390
CTTM;31;17;202390
CTTM;32;19;202390
CTTM;33;22;202390
CTTM;34;24;202390
CTTM;35;28;202390
CTTM;36;30;202390
CTTM;37;32;202390
CTTM;38;36;202390
CTVV;36;1;202390
CTVV;37;1;202390
CTVV;38;1;202390
DAAG;10;1;202390
DAAG;11;1;202390
DAAG;12;1;202390
DAAG;13;1;202390
DAAG;14;1;202390
DAAG;15;1;202390
DAAG;16;1;202390
DAAG;17;2;202390
DAAG;18;2;202390
DAAG;19;2;202390
DAAG;20;2;202390
DAAG;21;2;202390
DAAG;22;2;202390
DAAG;23;2;202390
DAAG;24;2;202390
DAAG;25;3;202390
DAAG;26;3;202390
DAAG;27;3;202390
DAAG;28;3;202390
DAAG;29;4;202390
DAAG;30;6;202390
DAAG;31;6;202390
DAAG;32;7;202390
DAAG;33;7;202390
DAAG;34;7;202390
DAAG;35;8;202390
DAAG;36;9;202390
DAAG;37;10;202390
DAAG;38;13;202390
DAES;29;9;202390
DAES;30;10;202390
DAES;31;10;202390
DAES;32;10;202390
